epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
171	1720	0.1521	0.0057	0.0618	0.9385	0.9439	0.0530	0.2219	0.4129	0.0796	0.0000	0.0000	0.1213	0.1020	849
172	1730	0.1568	0.0056	0.0645	0.9359	0.9448	0.0494	0.2219	0.4328	0.0796	0.0000	0.0000	0.1189	0.1043	854
173	1740	0.1466	0.0053	0.0600	0.9402	0.9438	0.0458	0.2259	0.4328	0.0945	0.0000	0.0000	0.1208	0.1064	859
174	1750	0.1458	0.0053	0.0597	0.9406	0.9491	0.0424	0.2238	0.4129	0.0697	0.0000	0.0000	0.1196	0.1048	864
175	1760	0.1526	0.0057	0.0621	0.9381	0.9469	0.0392	0.2211	0.4129	0.0697	0.0000	0.0000	0.1187	0.1038	869
176	1770	0.1491	0.0056	0.0604	0.9398	0.9470	0.0360	0.2234	0.4129	0.0796	0.0050	0.0000	0.1214	0.1042	874
177	1780	0.1668	0.0062	0.0679	0.9324	0.9462	0.0330	0.2213	0.4328	0.0796	0.0000	0.0000	0.1186	0.1041	879
178	1790	0.1610	0.0060	0.0655	0.9349	0.9480	0.0301	0.2203	0.4080	0.0896	0.0000	0.0000	0.1194	0.1023	883
179	1800	0.1425	0.0055	0.0575	0.9428	0.9466	0.0274	0.2233	0.4279	0.0697	0.0050	0.0000	0.1201	0.1050	888
180	1810	0.1453	0.0054	0.0591	0.9412	0.9480	0.0247	0.2248	0.4129	0.0796	0.0000	0.0000	0.1211	0.1059	893
181	1820	0.1591	0.0056	0.0655	0.9348	0.9463	0.0222	0.2214	0.4129	0.0945	0.0000	0.0000	0.1208	0.1021	898
182	1830	0.1361	0.0052	0.0551	0.9451	0.9426	0.0199	0.2239	0.4030	0.0796	0.0000	0.0000	0.1192	0.1064	903
183	1840	0.1673	0.0058	0.0692	0.9311	0.9501	0.0176	0.2231	0.4129	0.0796	0.0000	0.0000	0.1190	0.1056	908
184	1850	0.1653	0.0062	0.0671	0.9334	0.9391	0.0155	0.2220	0.4328	0.0846	0.0000	0.0000	0.1212	0.1024	913
185	1860	0.1403	0.0053	0.0569	0.9434	0.9445	0.0135	0.2238	0.4129	0.0746	0.0050	0.0000	0.1214	0.1041	917
186	1870	0.1407	0.0051	0.0576	0.9426	0.9398	0.0117	0.2241	0.4328	0.0796	0.0050	0.0000	0.1198	0.1055	922
187	1880	0.1459	0.0054	0.0593	0.9409	0.9505	0.0100	0.2230	0.4328	0.0896	0.0000	0.0000	0.1183	0.1063	927
188	1890	0.1672	0.0063	0.0679	0.9325	0.9489	0.0084	0.2242	0.4030	0.0945	0.0000	0.0000	0.1199	0.1060	932
